source,target,relation
"家发展改革委工业","建设 鄂","合作伙伴"
"家发展改革委工业","然资源部等","包含"
"家发展改革委工业","部等","应用于"
"业和信息化部自","部等","应用于"
" 支","持内蒙","开发者"
"支持内","支持内蒙","合作伙伴"
"支持内蒙","持内蒙","应用于"
"齐二氧化碳资源","集 发电系统协同、","应用于"
"氧 化","加装碳捕集","合作伙伴"
"国家发展改革委国家能源局","国家数据局","合作伙伴"
"家发展改","源局国家","位于"
"家发展改革委国家","家发展改革委国","开发者"
"家发展改革委国家","发展改革委国家","合作伙伴"
"家发展改革委国","家能源局国","合作伙伴"
"掺烧、","发展改革委国家","应用于"
"发展改革委国家","发展改革委国家能","位于"
"发展改革委国家","展改革委国家","包含"
"发展改革委国","发展改革委国家","开发者"
"江苏省","工业和信息化厅江苏省","包含"
"江苏省","发展和改革委员会江苏省","包含"
"工业和信息化厅江苏省","发展和改革委员会江苏省","包含"
"山东省","科学技术厅山东省","包含"
"山东省","发展和改革委员会山东省","包含"
"山东省","行政区","包含"
"山东省","建设绿色低碳高质量发展先行区","包含"
"科学技术厅山东省","发展和改革委员会山东省","包含"
"学技术厅山东省发","和改","应用于"
"学技术厅山东省发展和","和改","应用于"
"省科","学技术厅山东省发","包含"
"省科","省科学技术厅山东省","合作伙伴"
"省科","科学技术厅山东省","开发者"
"捕集、生物能","省科","应用于"
"山西省","科学技术厅山西省","包含"
"山西省","发展和改革委员会山西省","包含"
"科学技术厅山西省","发展和改革委员会山西省","包含"
"学技术厅山西省发","展和改","包含"
"学技术厅山西省发","展和","应用于"
"西省科","展和","包含"
"展和","展和改","包含"
"展和","展和改革委员会山西省","包含"
"展和","和改革委员会山西省工","合作伙伴"
"能耗、大 ","和改革委员会山西省工","开发者"
"能耗、大 ","展和","开发者"
"，前瞻","和改革委员会山西省工","应用于"
"科学技","科学","开发者"
"科学技","科学技术厅山西省发展","应用于"
"科学技","科学技术计划的对","开发者"
"科学","科学技术厅山西省发展","开发者"
"科学","学技术厅山西省发展","包含"
"科学","集中 在减","位于"
"福建省","工业和信息化厅福建省","包含"
"福建省","发展和改革委员会福建省","包含"
"工业和信息化厅福建省","发展和改革委员会福建省","包含"
"业和信息化厅福建省发","展和","合作伙伴"
"业和信息化厅福建省发","展和改","包含"
"业和信息化厅福建省发","和改","包含"
"建省生","展和","开发者"
"建省生","展和改","应用于"
"省工业和","和信息化厅福建省发","开发者"
"省工业和","工业","包含"
"和信息化厅福建省发","和改革","开发者"
"和信息化厅福建省发","和改革委员会福建省生","合作伙伴"
"和信息化厅福建省发","和改","包含"
"省工","和信息化厅福建省发","包含"
"工业和","改革","应用于"
"工业和","工业","开发者"
"工业和信","改革","开发者"
"经济和信息化厅四川省","生态环境厅四川省","包含"
"加强建","强对重点项 目建","应用于"
"广东省","发展和改革委员会广东省","包含"
"广东省","科学技术厅广东省","包含"
"发展和改革委员会广东省","科学技术厅广东省","包含"
"工业和信息化厅安徽省","发展和改革委员会安徽省","包含"
"发展和改革委员会安徽省","能源局关于印发安徽省","包含"
"发展和改革委员会安徽省","零碳产业园区","包含"
"、低温","封存","开发者"
"湖北省","住房和城乡建设厅湖北省","包含"
"湖北省","经济和信息化厅湖北省","包含"
"住房和城乡建设厅湖北省","经济和信息化厅湖北省","包含"
"改造升","信息化厅湖北省发展","开发者"
"代燃料","快工业","包含"
"代燃料","快工","包含"
"发挥中科院","武汉分院","合作伙伴"
"中科院武汉分院、","科院武汉分院、","包含"
"的示范工程","发展和改革委员会安徽省","位于"
"的示范工程","能源局关于印发安徽省","位于"
"能源局关于印发安徽省","零碳产业园区","包含"
"地制","制宜","合作伙伴"
"地制宜","制宜","包含"
"家标准委国","业和信息化部等","合作伙伴"
"陆上封","业和信息化部等","应用于"
"陆上封","家标准委国家发","开发者"
"标准委国","信息化部等","开发者"
"标准委国","标准委国家","应用于"
"和标准","点制修订","应用于"
"和标准","修订直","应用于"
"和标准","委工业和信","开发者"
"制修","修订直","包含"
"修订直","技术要 市场监督","应用于"
"修订","修订直","开发者"
"国家发展改革委市场监管总局","生态环境部","合作伙伴"
" 。 ","发展改革委市场","开发者"
" 。 ","外的 鄂","开发者"
" 。 ","内蒙古","开发者"
" 。 ","议将碳","应用于"
" 。 ","碳捕集和封存法规与现","应用于"
" 。 ","将碳捕","开发者"
" 。 ","碳捕","合作伙伴"
" 。 ","中国碳
捕集与封存项","开发者"
" 。 ","持将逐 ","应用于"
" 。 "," 。 随着碳捕集","合作伙伴"
" 。 "," 。 随着碳捕集与","包含"
"发展改革委市场","展改革委市场","包含"
"的团体","展改革委市场","应用于"
"展改","生态环境部","应用于"
"东省生","革委生态环","合作伙伴"
"）等温室 国","生态","应用于"
"四川省","发展和改革委员会四川省","包含"
"四川省","生态环境厅四川省","包含"
"发展和改革委员会四川省","生态环境厅四川省","包含"
"落实碳","省发","开发者"
"落实碳","上降","开发者"
"落实碳","制定","应用于"
"制定","动制定","合作伙伴"
"制定"," 动制定","位于"
"落实碳捕","制定","开发者"
"落实碳捕","省生态环境厅四川","包含"
"支持国家碳达峰试点城市","和园区","包含"
"模化碳","国家碳","位于"
"模化碳","国家碳达峰试点城市","应用于"
"模化碳","国家碳达","位于"
"模化碳","碳达","包含"
"励金","度 。","包含"
"排技术","励金融机构为","应用于"
"排技术","融产品","开发者"
"排技术","金融机构为绿","开发者"
"排技术","融机构为绿","应用于"
"首个","施 了全球首个CC","应用于"
"成 立","施 了全球首个CC","开发者"
"成 立","上世纪90 年代，","开发者"
"麻省理工学院发","施 了全球首个CC","合作伙伴"
"中半数","100 个处于不","应用于"
"项目，","的发","开发者"
"项目，"," 4 张贤、杨晓亮、","开发者"
"项目，"," 4","开发者"
"地区","北京","包含"
"地区","存示范项","包含"
"性的财","性的","开发者"
"性的财","区性的","应用于"
"的财","性的","应用于"
"的财","的财政","开发者"
"CCU","CC","包含"
"CCU","源转","开发者"
"CCU","0 年","合作伙伴"
" 20","CC","包含"
" 20","0 ","应用于"
"0 ","CC","位于"
"同时，明确C","CCU","应用于"
"同时，明确C","接补","位于"
"同时，明确C","构对","包含"
"同时，明确CCUS"," 。","合作伙伴"
"同时，明确CCUS","同时，明确CCU","应用于"
"同时，明确CCUS","S 项目","开发者"
"同时，明确CCU","S 项目","开发者"
"同时，明","同时，明确CCUS","应用于"
"同时，明","时，明确CCUS","包含"
"同时，","同时，明确CCU","应用于"
"同时，","同时，明确CCUS","应用于"
"词：","词：碳","包含"
"词：","词：CC","合作伙伴"
"I 103","管道；压","包含"
"究结","究结果","合作伙伴"
"究结","结果","包含"
"结果","结果可","开发者"
"结果","究结果可","应用于"
"碳利用","公司","开发者"
"碳利用","从技术发展与项目","应用于"
"碳利用","现阶段国内电厂碳捕集项目","应用于"
"碳利用","目前我国在部","开发者"
"碳利用","国家发展改革委工业和信息化部","开发者"
"碳利用","研究结果可为同类型碳捕集项目","应用于"
"碳利用","我国在部","开发者"
"减排；","资（7500 万美","应用于"
"排；","资（7500 万美","应用于"
"公司，","外相","开发者"
"开发商","相关案例 ","应用于"
"开发商","材料强度的同时可封","开发者"
"开发商","外相关案例 ","开发者"
"相关案例 ","材料强度的同时可封","包含"
"关案例 ","相关案例 ","应用于"
"关案","关案例 ","包含"
"关案","关案例","包含"
"关案例","关案例 ","开发者"
"碳捕获","CCUS项目","应用于"
"碳捕获","燃烧后捕集示范项目","应用于"
"碳捕获","工程","应用于"
"S项","CUS项","应用于"
"US","S项","合作伙伴"
"US","圳、浙 江省","应用于"
"US","立针对CC","应用于"
"US项","S项","应用于"
"类以及"," 从技术","应用于"
"术分类","从技术 行的项","开发者"
"术分类","行业CCUS项目","应用于"
"研究及示范项目","国家能源集团","投资方"
"研究及示范项目","江苏泰州公司","投资方"
"国家能源集团","江苏泰州公司","合作伙伴"
"国家能源集团","鄂尔多斯","位于"
"能源集团江","家能源集团江","开发者"
"家能源集团江","能源集团江","包含"
"家能源集团江","苏泰州公司5","合作伙伴"
"该项目","鄂尔多斯","位于"
"该项目","内蒙古","位于"
"/t ","目是国内","开发者"
"/t ","国内","合作伙伴"
"/t ","是国内","应用于"
"/t ","能力","开发者"
"/t ","项目是国","开发者"
"/t ","项目是","应用于"
"目是国内","国内","合作伙伴"
"目是国","目是国内","包含"
"目是国","国内","合作伙伴"
"目是国","能力","合作伙伴"
"国内","lti","包含"
"剂再","目是国内","合作伙伴"
"剂再","国内","合作伙伴"
"剂再","是国内","包含"
"是国","是国内","位于"
"收剂再","是国内","应用于"
"收剂再","能力","开发者"
"收剂再","是国","应用于"
"能力","目是国内","应用于"
"剂再生","是国内","应用于"
"苏泰州","功 。 国家","位于"
"苏泰州","目机组运行成","合作伙伴"
"目投","目投产","包含"
"国际领","目投产","应用于"
"国际领","投产","应用于"
"国内开","经验","包含"
"国内开"," 齐","应用于"
"国内开"," 齐鲁","应用于"
"国内开"," 齐鲁石","应用于"
"国内开","齐鲁石","开发者"
" 齐鲁"," 齐","位于"
" 齐鲁","齐鲁石","包含"
" 齐鲁石","鲁石","包含"
"齐鲁石","鲁石","包含"
"齐鲁石"," 齐鲁石","应用于"
"齐鲁","齐鲁石","位于"
"齐鲁"," 齐鲁石","应用于"
"内第一台用在","内第一","合作伙伴"
"内第一台用在","内第一台用在CCUS","应用于"
"内第一","第一台用在CC","位于"
"内第一","内第一台用在CC","应用于"
"一台","一台用在CC","包含"
"第一台用","一台用在CC","合作伙伴"
"一台用","一台用在CC","合作伙伴"
"一台用","第一台用在CC","开发者"
"我国青海省","西宁市","包含"
"青海省西","海省西宁市三合镇的天","包含"
"青海省西","国青海省西","应用于"
"和准噶尔盆地","鄂尔多斯","包含"
"和准噶尔盆地","和塔里木盆地","包含"
"于松辽盆 地","油田主要","包含"
"油田主要","CO2 ","合作伙伴"
"中国气藏主要分布于鄂尔多斯盆地","和塔里木盆地","包含"
"中国气藏主要分布于鄂尔多斯盆地","鄂尔多斯","包含"
"和塔里木盆地","鄂尔多斯","包含"
"和塔里木盆地","尔多斯盆","应用于"
"和塔里木盆地","多斯盆地","合作伙伴"
"和塔里木盆地","多斯盆","包含"
"和塔里木盆地","尔多斯盆地","包含"
"国气藏主","和塔里木盆地","开发者"
"国气藏主","尔多斯盆","包含"
"气藏主","尔多斯盆","开发者"
"藏主要","尔多斯盆","位于"
"藏主要","尔多斯盆地","包含"
"藏主要","多斯盆地","包含"
"气藏主要","尔多斯盆","包含"
"北部区","沉积盆地","包含"
"沉积盆地","鄂尔多斯","包含"
"O2 ","此之外，苏北","应用于"
"O2 ","日本的 CO2 ","应用于"
"O2 "," 年在准噶尔盆地东缘","开发者"
"2 ","日本的 CO2 ","应用于"
"之外，苏北盆地4","亿吨 和","开发者"
"之外，苏北","亿吨 和","应用于"
"碳捕集与","碳捕集与封存研究院G","包含"
"碳捕集与","碳捕集与封存研究","应用于"
"碳捕集与","家科学技术计划的对","应用于"
"捕集与","碳捕集与封存研究院G","应用于"
"捕集与","三五计划期","开发者"
"捕集与","碳捕集与封存项目可","应用于"
"捕集与","的税费负担并提高项目","应用于"
"捕集与","行碳捕集与封存项目可","开发者"
"捕集与","五计划期","包含"
"捕集与","碳捕集与封存项目的","应用于"
"捕集与","碳捕集与封存项目的商","开发者"
"捕集与","于国家科学技术计划的","应用于"
"捕集与","国家科学技术计划的对","应用于"
"捕集与","家科学技术计划的","应用于"
"捕集与","家科学技术计划的对","应用于"
"捕集与","选择示范项目时","应用于"
"捕集与","择示范项目时","包含"
"捕集与","示范项目时","包含"
"捕集与","于国家科","开发者"
"捕集与","五计划期间","应用于"
"捕集与","然构成碳捕集与封存","应用于"
"捕集与","然构成碳捕集","开发者"
"捕集与","构成碳捕集","应用于"
"集与封","捕集与封存研究院G","位于"
"集与封","捕集与封存","应用于"
"集与封","捕集","合作伙伴"
"集与封","三五计划期","合作伙伴"
"集与封","碳捕集与封存项目可能","应用于"
"集与封","行碳捕集与封存项目可","应用于"
"集与封","捕集与封存项目可能","合作伙伴"
"集与封","集与封存项目可","开发者"
"集与封","碳捕集与封存项目可","位于"
"集与封","计划期间","位于"
"集与封","五计划期间","位于"
"集与封","五计划期间为","包含"
"集与封","计划期间为","开发者"
"集与封","集与封存项目的商业","合作伙伴"
"集与封","国家科学技术计划的对","应用于"
"集与封","科学技术计划的对碳","位于"
"集与封","家科学技术计划的对碳","合作伙伴"
"集与封","家科学技术计划的对","包含"
"集与封","科学技术计划的对","开发者"
"集与封","捕集与封存项目的","应用于"
"集与封","捕集与封存项目的商业","开发者"
"集与封","构成碳捕集","包含"
"集与封","成碳捕","开发者"
"集与封","成碳捕集","应用于"
"集与封","碳捕集","包含"
"集与","捕集与封存研究院G","开发者"
"集与","集与封存设备的额","包含"
"集与","捕集与封存设备的额","位于"
"集与","捕集","开发者"
"集与","捕集与封存设备的","合作伙伴"
"集与","碳捕集与封存项目可能","开发者"
"集与","行碳捕集与封存项目可","开发者"
"集与","集与封存项目通","应用于"
"集与","与封存项目通","包含"
"集与","集与封存项目通常","合作伙伴"
"集与","捕集与封存项目需","应用于"
"集与","集与封存项目需","位于"
"集与","集与封存项目需要大","合作伙伴"
"集与","集与封存示范和部署路","包含"
"集与","集与封存项目需要","开发者"
"集与","家科学技术计划的对","合作伙伴"
"集与","学以及大连理工大","应用于"
"集与","
设试点项","应用于"
"集与","研发、建
设试点项","应用于"
"集与","方通常将碳捕集与","包含"
"集与","构成碳捕","开发者"
"集与","构成碳捕集","开发者"
"集与","成碳捕","应用于"
"集与封存","捕集与封存","位于"
"集与封存","碳捕集与封存","应用于"
"中唯一一个中国项目","鄂尔多斯","位于"
"中唯一一个中国项目","吉林","位于"
"过200 万吨 。","鄂尔多斯","应用于"
"鄂尔多斯 CCS ","鄂尔多斯","应用于"
"国家能源集团鄂尔多斯","鄂尔多斯","包含"
"：钢","：钢铁企业主要分","应用于"
"铁：钢","内蒙古","合作伙伴"
"些地区","内蒙古","开发者"
"这些高排放区","鄂尔多斯","包含"
"配距离","的中、低适应","应用于"
"距离","的中、低适应","应用于"
"些高排放区域","外的 鄂","合作伙伴"
"高排放区域","外的 鄂","应用于"
"分布于渤海湾盆地","等盆地","包含"
"等盆地","尔 多斯盆地等盆地","包含"
"等盆地","尔 多斯","开发者"
"海湾盆地、","海湾盆地","开发者"
"海湾盆地、","海湾盆地、准","应用于"
"Pol"," J Ts","应用于"
"近平","近平新时","开发者"
"习近","习近平新","应用于"
"习近","近平新","包含"
"实施城市节能降碳工程","实施城市","位于"
"施城","施城市节","应用于"
"城市节","城市","合作伙伴"
"城市节","市节","合作伙伴"
"碳园","市节","应用于"
"来技术学院","和示范性能源学院","合作伙伴"
"和示范性能源学院","来技术学院","合作伙伴"
"相关上市公司","4强化领导干部","合作伙伴"
"学习贯","公布","应用于"
"关上市公司和发债企","关上市公司和","开发者"
"和资源型地区","要结合区","包含"
"和资源型地区","低碳","开发者"
"和资源型地区"," 。 各","合作伙伴"
"和资源型地区","低碳发展 。 各","应用于"
"和资源型地区","业结构偏 ","应用于"
"要结合区","等区","包含"
"达到","目正","包含"
"的运","的运营","包含"
"的运","运营方和石油公司都必","包含"
"的运","运营方和石油公司都","合作伙伴"
"的运营","的运","合作伙伴"
"的运营","运营","开发者"
"目的运营","运营","合作伙伴"
"目的运营","的运营","合作伙伴"
"运营","目的运营","开发者"
"运营","的运营","开发者"
"运营","运营方","包含"
"估 碳","了工程","开发者"
"估 碳","工程项目","应用于"
"工程项目所","工程项目所需","包含"
"工程项目所","工程项目","应用于"
"上游市","场但具有良好的市","包含"
"重点围绕准噶尔-塔里木盆地","和四川盆地","包含"
"点围","和四川盆地","包含"
"绕准噶尔-塔"," 尔多斯盆地","包含"
"绕准噶尔-塔"," 尔多斯","包含"
"绕准"," 尔多斯","应用于"
"绕准"," 尔多斯盆地","应用于"
"管理能源项目","北京","位于"
"北京理工大学","北京理工大学能源与环境政策研究中心","合作伙伴"
"能源与环境政","能源与","包含"
"理工大学能","理工大","位于"
"理工大学能","工大学能","包含"
"工大学能","理工大学能","应用于"
"的碳捕集项目采用","的碳捕集项目采","开发者"
"捕集项目采用","的碳捕集项目采","合作伙伴"
"规划与","的碳捕集项目采","应用于"
"规划与","碳捕集项目采","应用于"
"捕集项","的碳捕集项目采","开发者"
"碳捕集项目采用","碳捕集项目采","包含"
"集项目采用技","捕集项目采用技","应用于"
"捕集项目采用技","捕集项目采用","合作伙伴"
"捕集项目采用技","碳捕集项目采用","包含"
"碳捕集项目采用技","捕集项目采用","包含"
"碳捕集项目采用技","碳捕集项目采用","包含"
"比利时","集群化建设方面，美国","开发者"
"集群","集群化建设方面，美国","包含"
"集群","集群化","应用于"
"集群化","集群化建设方面，美国","包含"
"适配多","集群化建设方面，美国","应用于"
"适配多","集群化","开发者"
"适配多","群化建设方面，美国《","应用于"
"群化","群化建设方面，美国《","位于"
"于设备","成本主要来源于设备","应用于"
"碳排放","成本主要来源于设备购","开发者"
"成本主要","成本主要来源于设备购","应用于"
"本主要来","成本主要来源于设备购","包含"
"本主要来","本主要来源于设备购","合作伙伴"
"本主要","成本主要来源于设备购","合作伙伴"
"本主要来源于设备购","成本主要来源于设备购","位于"
"本主要来源于","本主要来源于设备购","开发者"
"优的碳","优化决策是一","开发者"
"模C","化决策","开发者"
"化决策","化决策是一","应用于"
"长期成本最优的碳","化决策","开发者"
"决策","决策是","开发者"
"键 。 “十五","不仅","应用于"
"不仅","不仅具","应用于"
"不仅","仅进一步压缩了项目的","合作伙伴"
"不仅","不仅进一步压缩了项目","应用于"
"期碳捕","不仅进一步压缩了项目","开发者"
"仅进","仅进一步压缩了项目的","位于"
"积极开","碳捕集设施的全","应用于"
"集设施的全","碳捕集设施的全","应用于"
"基础","捕集设施的全生","开发者"
"重视加强海外组专利布局","知识产权保护格局","合作伙伴"
"广，打破国外机构对","国际","应用于"
"广，打破国外机构对","利布局，","位于"
"能源与环境政策中心","大部","合作伙伴"
"与环境政策中心大","与环境政策中心大部分","开发者"
"与环境政策中心大部","与环境政策中心大部分","应用于"
"与环境政策中心大部","与环境政策中心大","应用于"
"环境政策中心大部","与环境政策中心大","位于"
"环境政策中心大部","环境政策中心大","包含"
"环境政策中心大部","与环境政策中心大部","合作伙伴"
"基于区","鄂尔多斯","包含"
"于区域","津冀、鄂","开发者"
"域经","津冀、鄂","位于"
"域经济发展","域经济发","应用于"
"告所","告所描述","应用于"
"告所","告所描述的","应用于"
"所描","所描述","包含"
"所描","所描述的碳","开发者"
"在没有CCS示范与部署的国家计划","在没有CCS示范与部","投资方"
"CO2-强化驱油技术","以及大连理工大学","开发者"
"CO2-强化驱油技术","给出了如附录2所示的初步的入围项目","应用于"
"CO2-强化驱油技术","分或全部","开发者"
"最知名","没有CCS示范与","应用于"
"最知名","理中心、中国科","开发者"
"最知名","CC","应用于"
"有C","理中心、中国科","开发者"
"有C","下，","应用于"
"有CC","CC","包含"
"技术既","去的10年中","应用于"
"去的10年","去的10年中","合作伙伴"
"加强公","布碳","开发者"
"年计划"," 三、十三五计划","应用于"
"年计划"," 三","应用于"
"中 ","中 在","包含"
"家科学","中 在","应用于"
"家科学","领域的试点项目正在","开发者"
"家科学","集中 在减","应用于"
"家科学","年，9个主要集","合作伙伴"
"家科学","年，9个主要集中在","包含"
"家科学","中 在减","合作伙伴"
"等方面","中 在减","包含"
"等方面"," 在减","包含"
"碳捕","了保","应用于"
"碳捕","，英国（UK","开发者"
"碳捕","球碳捕","应用于"
"碳捕","碳捕集","包含"
"碳捕","捕集与封存项目需","应用于"
"了保","保持","合作伙伴"
"i 证","保持","开发者"
"i 证","了保持","开发者"
"i 证","CSI","应用于"
"i 证","持当","应用于"
"中国大多数煤化工项目","中国大多数煤化工项目都位于中西部","投资方"
"中国大多数煤化工项目","和内蒙古自治区","位于"
"中国大多数煤化工项目","以及宁夏回族自治区","位于"
"中国大多数煤化工项目","内蒙古","位于"
"和内蒙古自治区","以及宁夏回族自治区","包含"
"和内蒙古自治区","内蒙古","包含"
"以及宁夏回族自治区","内蒙古","包含"
"国大多数煤化工项目都","和内蒙古","合作伙伴"
"国大多数煤化工项目都","以及宁夏回族自治区","包含"
"国大多数煤化工项目都","内蒙古","位于"
"国大多数煤化工项目都","和内蒙古自治区","包含"
"国大多数煤化工项目都","内蒙古自治区","合作伙伴"
"和内蒙古","以及宁夏回族自治区","应用于"
"和内蒙古","内蒙古","开发者"
"21 ","以及宁夏回族自治区","应用于"
"21 ","的发","包含"
"21 ","CU","开发者"
"21 "," 4 张贤、杨晓","应用于"
"21 "," 4 张贤、杨晓亮、","开发者"
"21 ","内蒙古","应用于"
"21 "," 4","开发者"
"大多数煤化工项目都位","内蒙古","位于"
"大多数煤化工项目都位","以及宁夏回族自治区","包含"
"多数煤化工项目都位","以及宁夏回族自治区","包含"
"多数煤化工项目都位","内蒙古","合作伙伴"
"多数煤化工项目都位于","内蒙古","合作伙伴"
"工艺组","大部分","应用于"
"工艺组","部分注","应用于"
"部分注入的CO","部分注","应用于"
"CO2强化驱油技术","由于在国内有中试项目","应用于"
"CO2强化驱油技术","参与早期的示范项目","应用于"
"CO2强化驱油技术","技术是最合适的方法","应用于"
"CO2强化驱油技术","试点项目","应用于"
"CO2强化驱油","于在国内有中试项目，","开发者"
"于在国内有中试项目，","在国内有中试项目，","包含"
"本路线图对中国的23个主要陆上盆地","和9个主要近海盆地","包含"
"O2 ，总的封","路线图对中国的2","开发者"
"O2 ，总的封","路线图对中国的23个","应用于"
"O2 ，总的封","线图对中国的23个","开发者"
"路线图对中","线图对中国的2","合作伙伴"
"路线图对中","路线图对中国的23个","开发者"
"路线图对中","线图对中国的23个","合作伙伴"
"图对","线图对","应用于"
"线图对","图对","合作伙伴"
"三五计划期","五计划期","包含"
"捕集与封","三五计划期","开发者"
"捕集与封","要 建","开发者"
"捕集与封","成碳捕","应用于"
"与封","计划期间为碳","开发者"
"与封","五计划期间为碳","开发者"
"与封","碳捕集与封存项目可","应用于"
"与封","集与封存项目的商业","合作伙伴"
"与封","成碳捕集","应用于"
"与封","碳捕集与封","合作伙伴"
"与封","碳捕集","包含"
"与封","成碳捕集与封","应用于"
"所述，","和北部","开发者"
"所述，","录1显示 了中国东","应用于"
"所述，","录1显示 了中国东部","应用于"
"所述，","1显示 了中国东部","应用于"
"所述，","部、东北部和北部","包含"
"所述，中","录1显示 了中国东","应用于"
"录1显","1显示 了中国东部","包含"
"录1显","部、东北部和北部","合作伙伴"
"述，","录1显示 了中国东部","应用于"
"1显示 了中国东","显示 了中国东","合作伙伴"
"显示","1显示 了中国东","开发者"
"显示","显示 了中国东","合作伙伴"
"1显示","显示 了中国东","包含"
"给出了如附录2所示的初步的入围项目","分或全部","投资方"
"给出了如附录2所示的初步的入围项目","鄂尔多斯","位于"
"目，而且所有项目","了CO2","包含"
"我们基","了CO2-强化驱油技","应用于"
"我们基","了CO2","位于"
"我们基","9 考虑到电力","位于"
"我们基"," 考虑到电力","应用于"
"我们基","9 考虑到电力行业是","应用于"
"9 ","了CO2","合作伙伴"
"9 考虑到","了CO2","合作伙伴"
"9 考虑到","9 考虑到电力","包含"
"9 考虑到"," 考虑到电力","合作伙伴"
"小规模中试项目","鄂尔多斯","位于"
"该盆地","鄂尔多斯","包含"
"盆地不"," 捕集C","合作伙伴"
"项目还","鄂尔多斯","开发者"
"目还将","鄂尔多斯","包含"
"宁夏和 山西的燃","鄂尔多斯","应用于"
"将评","鄂尔","包含"
"源部","和工业和信息化部","合作伙伴"
"源部","源部和工业和信息化部","包含"
"少碳","和工业和信息化部","开发者"
"发改委、国家","和工业和信息化部","应用于"
" 中国","和工业和信息化部","应用于"
" 中国","源部和工业和信息化部","应用于"
"和工业和信息化部都","和工业和信息化部","应用于"
"源部和工业和信息化部","和工业和信息化部","包含"
"CO2捕集技术","这类法规缺失可能导致在碳捕集与封存项目","应用于"
"CO2捕集技术","技术是指通过化学和物理等方法","应用于"
"CO2捕集技术","自第十个五年计划","应用于"
"只有一","规缺","应用于"
"项目规","项目是高风险","开发者"
"项目规","录 ","应用于"
"项目规","录 i","应用于"
"项目规","iv","应用于"
"录 i","录 ","应用于"
"是理想的候选区","和松辽盆地","包含"
"是理想的候选区","以及西部的塔里木盆地","包含"
"是理想的候选区","都有适于CO2强化驱油的油田","包含"
"是理想的候选区","鄂尔多斯","包含"
"是理想的候选区","为优先区","包含"
"是理想的候选区","中国东北的鄂尔多斯盆地","包含"
"和松辽盆地","以及西部的塔里木盆地","包含"
"和松辽盆地","都有适于CO2强化驱油的油田","包含"
